Saami;Saamifoɔ
Strait of Sicily;Sicily Asubɔnten no mu
strait;a ɛyɛ atɛkyɛ
straitjacket;straitjacket a ɛyɛ den
strand;strand
stranded;a wɔakɔda afiase
strange bird;anomaa a ɔyɛ nwonwa
strange quark;quark a ɛyɛ nwonwa
strange;nwanwa
strangely;anwonwasɛm ne sɛ
strangeness;anwonwade a ɛyɛ nwonwa
stranger;ɔhɔhoɔ
strangle;amene obi
stranglehold;stranglehold a wɔde hyɛ obi nsa
strangler;obi a ɔde ne ho hyɛ mu
strangulation;a wɔde hyɛ obi nsa
strangury;strangury a ɛyɛ nwonwa
strap-on;strap-on a wɔde abɔ so
strap;abɔso a wɔde kyekyere
strappado;strappado, na ɛyɛ strappado
Strasbourg;Strasbourg na ɛwɔ hɔ
Strasserism;Strasserism a wɔde di dwuma
stratagem;stratagem a wɔde di dwuma
strategic;ɔkwan a wɔfa so yɛ adwuma
strategically;wɔ ɔkwan a wɔfa so yɛ adwuma so
strategist;ɔkwankyerɛfo
strategy;ɔkwan
stratified;a wɔahyehyɛ no nnidiso nnidiso
stratify;stratify a wɔde hyɛ mu
stratigraphy;stratigraphy a wɔde kyerɛw nsɛm
stratocumulus;stratocumulus a ɛwɔ nipadua no mu
stratopause;stratopause a wɔde gyina akyi
stratosphere;stratosphere a ɛwɔ soro
stratotype;stratotype a ɛyɛ stratotype
stratovolcano;ogya bepɔw a ɛyɛ strato
stratum;stratum a ɛyɛ stratum
stratus;stratus a ɛwɔ nipadua no mu
straw man;nsɔe nipa
straw poll;straw poll a wɔde yɛ nhwehwɛmu
straw;nsensan
strawberry tree;strawberry dua a wɔfrɛ no strawberry dua
strawberry;strɔɔbɛri
stray;ayera
streak;nsensaneeɛ soronko
stream;nsuwa
streaming;streaming a wɔde fa nsu mu
streamline;streamline a ɛyɛ mmerɛw
street art;abɔnten so adwinni
street artist;abɔnten so mfoniniyɛfo
street food;mmɔnten so aduan
street harassment;mmɔnten so ayayade
street musician;mmɔnten so nnwontofo
street organ;abɔnten so sanku
street performer;abɔnten so ɔyɛkyerɛfo
street racing;mmɔnten so mmirikatu
street urchin;abɔnten so urchin
street;tempɔn
streetlight;abɔnten so kanea
streetwalker;obi a ɔnam mmɔnten so
strength training;ahoɔden ntetee
strength;ahoɔden
strengthen;hyɛ mu den
strenuous;a ɛyɛ den
strep throat;strep menewa mu ntini
streptococcus;streptococcus a ɛma obi nya ahoɔden
stress ball;adwennwen bɔɔl
stress;ɔbrɛ
stressed;a wosi so dua
stressful;adwennwen a ɛyɛ den
stretch mark;stretch agyiraehyɛde
stretch the truth;trɛw nokware no mu
stretch;twe mu
stretcher-bearer;stretcher-bearer a ɔsoa adeɛ
stretcher;stretcher a wɔde hyɛ nipadua mu
stretching;a wɔtrɛw mu
strew;strew a wɔde bɛpetepete
strewn;wɔapetepete so
strict;ferenkyemm
stricture;stricture a ɛyɛ den
stride;anammɔntuo
strident;a ɛyɛ den
strife;ntawntawdi
strigil;strigil a wɔde hyɛ obi nsa
strike out;strike out
strike;te atua
strikebreaker;strikebreaker a ɛyɛ adwuma
striker;ɔbɔfo a ɔbɔ bɔɔl
striking;a ɛyɛ nwonwa
string quartet;nhama a wɔde bɔ nnwom anan
string theory;ahama ho nsusuwii
string together;hama a wɔde abɔ mu
string trimmer;ahama a wɔde twitwa nhama
string;ahoma
stringed instrument;sanku a wɔde hama abɔ
stringency;kateeyɛ
stringent;a ɛyɛ katee
strip cartoon;strip mfoninitwa afiri
strip down;yiyi wo ho gu fam
strip poker;strip poker a wɔde yi wɔn ho
strip;worɔ
stripe;nsensanee a ɛyɛ nsensanee
striped;a ɛyɛ nsensanee
stripper;stripper a ɔtwetwe ne ho
striptease;aduru a wɔde yiyi wɔn ho
strive;pere kɔ ho
strobilus;strobilus a wɔfrɛ no strobilus
stroboscope;stroboscope a wɔde hwɛ ade
stroganoff;stroganoff a wɔde di dwuma
stroke order;stroke nhyehyɛe
stroke;nnwodwoɔ
stroll;nantew nantew
stroller;stroller a wɔde fa mmofra
stromal;stromal a ɛyɛ stromal
stromatolite;stromatolite a wɔfrɛ no stromatolite a wɔfrɛ no stromatolite
strong as an ox;ahoɔden te sɛ nantwi
strong suit;suit a ɛyɛ den
strong;den
stronghold;abankɛse a ɛyɛ den
strongly;denneennen
strontium;strontium a wɔfrɛ no strontium a wɔfrɛ no strontium
stroopwafel;stroopwafel a wɔde di dwuma
structural formula;nhyehyeɛ a wɔde yɛ adwuma
structural isomerism;nhyehyɛe mu isomerism
structural;nhyehyɛe a wɔde yɛ adwuma
structure;nhyehyɛeɛ
struggle;pere
strum;strum
strumpet;strumpet a wɔbɔ
strut one's stuff;strut obi nneɛma
strut;strut
STS;STS
stub;stub
stubble;stubble a ɛyɛ nnuadewa
stubborn as a mule;a ne tirim yɛ den te sɛ afurum
stubborn;asoɔden
stubbornly;atirimɔden so
stubbornness;atirimɔdensɛm
stucco;stucco a wɔde yɛ stucco
stuck up;abata ho
stuck;aka
stud;stud
student;osuani
studio;studio a wɔde yɛ adwuma
study hall;adesua dan mu
study;sua
stuff;adeɛ
stuffed animal;aboa a wɔde nneɛma ahyɛ mu
stuffed shirt;atade a wɔde nneɛma ahyɛ mu
stuffed;wɔde nneɛma ahyɛ mu
stuffing;nneɛma a wɔde hyɛ mu
stuffy;stuffy a ɛyɛ den
stultify;yɛ nkwaseasɛm
stumble;hintidua
stumbling block;hintidua
stump;stump
stumped;stumped
stun;stun a ɛyɛ nwonwa
stunner;stunner a ɛyɛ nwonwa
stunt double;stunt mmɔho abien
stunt;stunt a wɔde yɛ nneɛma
stupa;stupa
stupefy;stupefy a ɛyɛ hu
stupid fuck;nkwaseasɛm fuck
stupid;nkwaseasɛm
stupidity;nkwaseasɛm
stupidly;nkwaseasɛm mu
stupor;stupor
sturdy;a ɛyɛ den
sturgeon;sturgeon a wɔfrɛ no sturgeon a wɔfrɛ no sturgeon
stutter;asɛm a wɔka kyerɛ
stutterer;obi a ɔka nsɛmmɔne
stye;stye
style;yɔbea
stylish;stylish a ɛyɛ fɛ
stylistics;stylistics a wɔde yɛ nneɛma
stylite;stylite a wɔde yɛ nneɛma
stylobate;stylobate a wɔde yɛ ade
stylus;stylus a wɔde kyerɛw nsɛm
styptic pencil;styptic pɛnsere a wɔde di dwuma
Styria;Styria a ɛwɔ hɔ
styrofoam;styrofoam a wɔde yɛ aduru
Styx;Styx a wɔfrɛ no Styx
suave;suave
sub-;sub- 1999 mu.
sub-Saharan;Sahara anafo fam
sub-zero;sub-zero na ɛwɔ hɔ
sub;sub
subaltern studies;subaltern adesua ahorow
subarachnoid space;subarachnoid ahunmu
subatomic particle;subatomic abɔde mu nneɛma nketenkete
subatomic;subatomic a ɛwɔ hɔ
subclinical;subclinical
subcommander;ɔsahene ketewa
subcommittee;boayikuw ketewaa bi
subconscious;subconscious a ɛwɔ adwene mu
subcontinent;asasepɔn ketewaa bi
subcontract;subcontract a wɔde yɛ adwuma
subculture;subculture (amammerɛ nketewa).
subcutaneous;a ɛwɔ honam ani
subdivide;kyekyɛ mu nketewa
subdivision;nkyekyɛmu ketewaa bi
subdomain;subdomain a ɛwɔ hɔ
subduction zone;subduction beae a ɛwɔ
subdue;brɛ wɔn ho ase
subfamily;abusua ketewa
subfolder;subfolder a wɔde kyerɛw nsɛm
subgenital;subgenital a ɛwɔ akyi
subgenre;subgenre a wɔde kyerɛw nsɛm
subgroup;kuw ketewaa bi
subheading;asɛmti ketewaa bi
subimago;subimago a ɛwɔ hɔ
subject matter;asɛmti a wɔde di dwuma
subject;adesuadeɛ
subjective;asɛm a ɛfa obi ankasa ho
subjectivity;asɛmti a wɔde di dwuma
subjugate;hyɛ wɔn ase
subjunctive mood;subjunctive adwene a ɛwɔ asɛm no mu
subjunctive;asɛmfua a wɔde hyɛ ase
sublease;sublease a wɔde ma
sublimate;sublimate a ɛyɛ den
sublimation;sublimation a wɔde yɛ nneɛma
sublime;a ɛkorɔn sen biara
subliminal message;nkrasɛm a wɔde wɔn adwene bu
subliminal;subliminal a wɔde wɔn adwene bu
sublimity;sublimity a ɛkorɔn
sublingual;kasa ase kasa
submachine gun;submachine gun a wɔde di dwuma
submarine;po ase akohyɛn
submerge;nsu ase a wɔde wɔn ho hyɛ mu
submersible;a wɔde hyɛ nsu ase
submission;amanedeɛ
submissive;ɔbrɛ ne ho ase
submit;fa kɔ
subnormal;subnormal
suborbital;suborbital a ɛwɔ akyi
suborder;suborder
subordinate clause;asɛmfua a wɔde hyɛ ase
subordinate;ɔhyɛ ase
suboxide;suboxide a wɔde yɛ adwuma
subpoena;krataa a wɔde frɛ nkurɔfo
subprefect;subprefect a ɔyɛ ɔmanpanyin
subrogate;subrogate a wɔde si ananmu
subscribe;kyerɛw wo din
subscriber;obi a ɔkyerɛw ne din
subscript;subscript a wɔde kyerɛw nsɛm
subscription;nkrataahyɛ a wɔde kra
subsequent;akyiri yi
subservience;ahobrɛase
subservient;obi a ɔbrɛ ne ho ase
subset;subset ketewaa bi
subsidence;subsidence a ɛkɔ fam
subsidiary;adwumakuw ketewaa bi
subsidize;mmoa a wɔde ma
subsidy;mmoa a wɔde ma
subsist;tra ase
subsoil;asase ase
subspecies;subspecies a ɛwɔ hɔ
substance abuse;nnuru a wɔde di dwuma ɔkwammɔne so
substance;deɛ ɛwom
substantial;a ɛho hia kɛse
substantive;asɛm a ɛfa ho
substantivise;substantivize a ɛyɛ nokware
substation;substation a ɛwɔ hɔ
substitute;ananmusini
substrate;substrate a wɔde yɛ ade
subsume;subsume a wɔde hyɛ ase
subterranean;asase ase
subtitle;asɛmti ketewaa bi
subtitled;wɔde asɛmti ketewaa bi ahyɛ mu
subtle;kamakama
subtlety;anifere kwan so
subtly;anifere kwan so
subtract;yi fi mu
subtraction;nsɛm a wɔtwe fi mu
subtrahend;subtrahend a wɔde hyɛ obi nsa
subtropics;mmeae a osu tɔ na owia bɔ kɛse
suburb;kurotia
suburban;kurotia
subversion;ɔman asetutu
subversive;subversive
subvert;subvert
subway;keteke a ɛnam fam
succeed;di nkunim
success story;nkonimdi ho asɛm
success;nkunimdie
successful;yie
successfully;nkonimdi mu
successional;nnidiso nnidiso
successive;nnidiso nnidiso
successively;nnidiso nnidiso
successor;nea odi n’ade
succinct;tiawa
succinctly;no tiawa mu
succinic acid;succinic acid a wɔde yɛ aduru
succor;mmoa
succubus;succubus a ɛyɛ hu
succumb;gyae wo ho mu
such as;te sɛ
such is life;saa na nkwa te
such-and-such;saa-ne-te saa
such;saa
suck off;suck off
suck up;suck up
suck;twe
sucker;sucker
suckle;nufusu
sucralose;sucralose a wɔde yɛ aduru
sucrose;sukrose a wɔde yɛ adwuma
suction cup;kuruwa a wɔnom nsu
suction;suction a wɔtwe
Sudan;Sudan
Sudanese;Sudanfo kasa
sudden death;owu a ɛba mpofirim
sudden;hyew
suddenly;prɛko pɛ
Sudeten;Sudeten na ɛyɛ
sudoku;sudoku
suds;suds a ɛyɛ hu
sue;asɛm a wɔde kɔdan asɛnnibea
suede;suede a wɔde yɛ nneɛma
Suez Canal;Suez Asubɔnten no mu
Suez;Suez na ɔkyerɛwee
suffer from;hu amane wɔ
suffer;brɛ
sufferer;amanehunufo
suffering;rebrɛ
suffice;ɛdɔɔso
sufficiency;nea ɛdɔɔso
sufficient condition;tebea a ɛdɔɔso
sufficient;ɛso
sufficiently;sɛnea ɛsɛ
suffix;akyigyinafo
suffixation;asɛmfua a wɔde hyɛ akyi
suffocate;obi a ne menewa mu
suffrage;hokwan a obi wɔ sɛ ɔtow aba
suffragette;suffragette a wɔde tow aba
Sufism;Sufism a wɔde di dwuma
sugar apple;asikre apɔw-mu-teɛteɛ
sugar baby;asikre akokoaa
sugar beet;asikre a wɔde yɛ nneɛma
sugar bowl;asikre kuruwa
sugar cane;asikre a wɔde yɛ aduru
sugar cube;asikre a wɔde yɛ aduan
sugar daddy;asikre papa
sugar glider;asikre a wɔde tu mmirika
sugar mill;asikre a wɔde yɛ nneɛma
sugar substitute;asikre a wɔde si ananmu
sugar water;asikre nsuo
sugar-free;asikre a enni mu
sugar-loaf;asikre-abodoo
sugar;asikyire
sugarcoated;wɔde asikre adura ho
sugared;asikre a wɔde ahyɛ mu
Sugarloaf Mountain;Sugarloaf Bepɔw so
suggest;susu
suggestible;suggestible
suggestion;nsusuiɛ
suggestive;a ɛkyerɛ biribi
suicide bomber;ɔtopae a okum ne ho
suicide pact;apam a wɔde kum wɔn ho
suicide tourist;nsrahwɛfo a okum ne ho
suicide;obi a okum ne ho
suit;fata
suitable;yɛ ma
suitably;sɛnea ɛfata
suitcase;baage
suite;suite
Sukhumi;Sukhumi na ɔkyerɛwee
sulfate;sulfate a wɔde yɛ adwuma
sulfhydryl;sulfhydryl a wɔde yɛ nneɛma
sulfide;sulfide a wɔde yɛ adwuma
sulfite;sulfite a wɔde yɛ nneɛma
sulfonamide;sulfonamide a wɔde yɛ aduru
sulfur dioxide;sulfur dioxide a wɔde yɛ nneɛma
sulfur oxide;sulfur oxide a wɔde yɛ nneɛma
sulfur;sulfur a wɔde yɛ nneɛma
sulfurate;sulfurate a wɔde yɛ aduru
sulfuric;sulphuric a wɔde yɛ nneɛma
sulfurous acid;acid a ɛyɛ sulfurous
sulfurous;sulfur a ɛwɔ mu
sulk;sulk
sullen;a ɛyɛ awerɛhow
sullenness;sullenness a ɛyɛ hu
sulphuric acid;sulphuric acid a wɔde yɛ aduru
sultan;sultan a ɔyɛ ɔsraani
sultana;sultana na ɛyɛ sultana
sultanate;sultanate a wɔde di dwuma
sultry;sultry a ɛyɛ hyew
sum total;ne nyinaa bom
sum;ka bom
sumac;sumac
Sumatra;Sumatra na ɛwɔ hɔ
Sumatran rhinoceros;Sumatra asono a wɔyɛ asono
Sumatran tiger;Sumatra ɔsebɔ
Sumer;Sumer na ɔkyerɛwee
Sumerian;Sumeria kasa
summarily;sɛ yɛbɛka no tiawa a
summarize;bɔ no mua
summary;tɔfabɔ
summation;nsɛm a wɔaboaboa ano
summer camp;awɔw bere mu nsraban
summer solstice;awɔw bere mu owiatɔe
summer;ahuhuroberɛ
Summerland;Ahuhuro Asase
summery;awɔw bere mu de
summit;nhyiamu
summon;frɛ
summons;frɛ a wɔde frɛ nkurɔfo
sump;sump
sumptuous;a ɛyɛ fɛ
sun bear;owia asono
sun dog;owia kraman
sun letter;owia krataa
sun-dry;owia-dry
sun;awia
sunbath;owia a wɔde guare
sunbathe;owia a wɔde guare
sunbeam;owia hann a ɛhyerɛn
sunburn;owia hyew
suncatcher;owia kyerefo
Sunday;Kwasiada
sundial;owia dɔn a wɔde hyɛ mu
sunfish;owia mpataa
sunflower oil;owia-nsoromma ngo
sunflower seeds;owia-nsoromma aba
sunflower;owia-nsoromma
sunglasses;ahwehwɛ a wɔde hwɛ owia
sunk cost;sunk cost
sunlight;owia hann
sunlounger;sunlounger a wɔde tena owia mu
Sunni;Sunnifoɔ
sunny;awia
sunrise;owia apuei
sunroof;sunroof a wɔde yɛ adwuma
sunscreen;aduru a wɔde siw owia ano
sunset;owigya
sunshade;owia a wɔde hyɛ mu
sunshine;awiabɔ
sunspot;owia mu nsensanee
sunstroke;owia a ɛbɔ
suona;suona
Super Bowl;Super Bowl a ɛyɛ fɛ
super cup;super kuruwa
Super Tuesday;Super Tuesday na ɛyɛ
super-Niño;Niño a ɛboro so
super;soronko
superannuate;superannuate a wɔde di dwuma
superb;superb
supercilious;a wɔyɛ ahantan
supercomputer;kɔmputa kɛse a wɔde di dwuma
superconductivity;superconductivity a ɛboro so
supercontinent;asasepɔn a ɛso sen biara
superego;superego a ɛboro so
superessive case;asɛm a ɛboro so
superfamily;abusua a ɛboro so
superficial;nea ɛwɔ soro
superficially;wɔ soro
superfluity;nea ɛboro so
superfluous;nea ɛho nhia
superfluously;a ɛho nhia
superfood;aduan a ɛboro so
supergiant;supergiant a ɛyɛ kɛse
superglue;superglue a wɔde hyɛ mu
superhero;ɔbran kɛse
superhighway;ɔkwan kɛse so
superhuman;nea ɛboro onipa so
superimpose;de hyɛ so
superintendent;ɔhwɛfo panyin
superior court;asɛnnibea kunini
superior oblique;a ɛkorɔn a ɛyɛ oblique
superior rectus;rectus a ɛwɔ soro
superior;di so
superiority;nea ɛkorɔn sen biara
superlative;asɛm a ɛboro so
superman;superman a ɔsen biara
supermarket;aguadidan kɛse mu
supermassive;nea ɛboro so
supermodel;supermodel a ɔyɛ ɔyɛkyerɛ
supermoon;ɔsram a ɛboro so
supernal;nea ɛwɔ soro
supernatant;nsu a ɛwɔ soro
supernatural;nea ɛboro nnipa de so
supernova;supernova a ɛyɛ nwonwa
superorganism;abɔde a nkwa wom a ɛboro so
superoxide;superoxide a ɛyɛ kɛse
superpower;tumi kɛse
supersede;de si ananmu
superset;superset a wɔde ahyɛ mu
superstar;nsoromma kɛse
superstition;gyidihunu
superstitious;gyidihunu
superstitiously;gyidihunu mu
superstore;sotɔɔ akɛse mu
superstring;superstring a ɛwɔ soro
superstructure;superstructure a ɛwɔ soro
supersymmetry;supersymmetry a ɛyɛ nea ɛboro so
supervise;hwɛ so
supervisor;ɔhwɛsofoɔ
superwoman;ɔbea a ɔsen biara
supine;supine a wɔde gyina hɔ
supper;anwummerɛ aduane
supplant;supplant a wɔde si ananmu
supple;a ɛyɛ mmerɛw
supplement;aduan a wɔde ka ho
supplementary;a wɔde ka ho
suppletive;ade a wɔde ka ho
suppliant;ɔdebisafoɔ
supplicant;ɔsrɛsrɛfo
supplicate;srɛsrɛ
supplier;nea ɔde nneɛma ma
supply and demand;nea wɔde ma ne nea wɔhwehwɛ
supply teacher;supply kyerɛkyerɛfo
supply;fa ma
support;mmoa
supporter;ɔboafo
suppose;wɔ sɛ
supposed to;wɔkyerɛ sɛ ɛyɛ saa
supposed;sɛ sɛ
supposedly;wɔkyerɛ sɛ
supposition;nsusuwii hunu
suppository;suppository a wɔde hyɛ nipadua mu
suppress;siw ano
supraglacial;supraglacial a ɛwɔ soro
supranational;nea ɛboro aman so
supremacy;tumidi a ɛkorɔn
supreme court;asɛnnibea kunini no
Supreme Soviet;Soviet a Ɛkorɔn sen biara
supreme;a ɛkorɔn sen biara
supremely;nea ɛkorɔn sen biara
sura;sura
surcharge;sika a wɔde ka ho
sure thing;ade a ɛyɛ nokware
sure;gye di
surefooted;surefooted
surely;ampa ara se
surety;surety a wɔde di dwuma
surf;surf a wɔde tu mmirika
surface tension;ɔfasuo so nhyɛsoɔ
surface;ani
surfactant;aduru a ɛma nneɛma yɛ adwuma wɔ soro
surfboard;surfboard a wɔde tu mmirika
surfer;surfer a ɔde ne ho hyɛ mu
surficial;a ɛwɔ soro
surfing;surfing a wɔde tu mmirika
surge;kɔ anim
surgeon;oduruyɛfo a ɔyɛ oprehyɛn
surgery;sɛɛgyiri
surgical mask;oprehyɛn akataso
surgical procedure;oprehyɛn a wɔyɛ
surgical spirit;oprehyɛn honhom
surgical;oprehyɛn a wɔyɛ
surgically;wɔ oprehyɛn mu
Suriname;Suriname na ɛwɔ hɔ
Surinamese;Surinamefo kasa
surjection;surjection a wɔde yɛ ade
surjective;surjective a wɔde yɛ nhwehwɛmu
surly;surly
surmise;nsusuwii hunu
surname;abusuadin
surpass;ɛboro so
surplice;surplice a wɔde yɛ adwuma
surplus;nea ɛboro so
surprise;nwanwa
surprised;nwanwa
surprising;ɛyɛ nwonwa
surrealism;surrealism a ɛyɛ nokware
surrender;ma wo nsa so
surreptitious;sum ase
surreptitiously;wɔ sum ase
Surrey;Surrey na ɛwɔ hɔ
surrogate mother;ɛna a ɔde ne ho si ananmu
surrogate;ɔde si ananmu
surround;twa ho hyia
surrounding;atwa ho ahyia
surroundings;nneɛma a atwa yɛn ho ahyia
surveillance;nhwehwɛmu
survey;nhwehwɛmu
surveying;nhwehwɛmu a wɔyɛ
surveyor;ɔsraani a ɔhwɛ asase so
survival;nkwa a wonya
survivalist;obi a ogye nkwa
survive;nya nkwa
survivor;nea onyaa ne ti didii mu
Susan;Susan na ɔkyerɛwee
Susanna;Susanna na ɔkyerɛwee
susceptibility;sɛnea ɛyɛ mmerɛw sɛ wobenya bi
susceptible;a ɛyɛ mmerɛw sɛ wobenya bi
sushi;sushi a ɛyɛ sushi
suspect;susu sɛ
suspended cymbal;sanku a wɔde sɛn hɔ
suspender belt;abɔso a wɔde hyɛ mu
suspender;suspender a wɔde hyɛ mu
suspense;suspense a ɛyɛ hu
suspenseful;asɛm a ɛyɛ hu
suspension bridge;bridge a wɔde sɛn so
suspicion;adwenem naayɛ
suspicious;susu sɛ ɛbɛyɛ ɛno
suspiciously;adwenem naayɛ so
sustain;kura mu
sustainability;deɛ ɛbɛtumi atim
sustainable;deɛ ɛbɛtumi akyɛ
susurrus;susurrus a ɛyɛ hu
suture;suture a wɔde hyɛ nipadua mu
Suva;Suva na ɔkyerɛwee
Svalbard;Svalbard na ɔkyerɛwee
Svan;Svan na ɔkyerɛwee
svarabhakti;svarabhakti na ɛyɛ adwuma
swab;swab
Swabia;Swabia
Swabian;Swabian kasa
swaddling clothes;ntade a wɔde kata so
Swadesh list;Swadesh din a wɔahyehyɛ
swag;ahokeka
swagger;swagger a wɔde wɔn ho hyɛ mu
Swahili;Swahili kasa
swain;swain
swallow up;mene wo ho
swallow;mene
swallowtail;swallowtail a ɛyɛ fɛ
swamp;atɛkyɛ
swampy;atɛkyɛ a ɛyɛ atɛkyɛ
swan;swan
swap;sesa
swarf;swarf
swarm;swarm
swastika;swastika
swatch;swatch a wɔde yɛ nneɛma
sway;sway
swayback;swayback
Swazi;Swazi kasa mu
Swaziland;Swaziland na ɛwɔ hɔ
swear word;ntam asɛm
swear;ka ntam
swearing-in;ntam a wɔka
sweat like a pig;fifiri te sɛ mprako
sweat;mfifire
sweater;swɛta
sweatshirt;sweatshirt a wɔde hyɛ atade
sweaty;fifiri a ɛyɛ fifiri
swede;swede kasa mu
Sweden;Sweden
Swedish massage;Swedenfo aduru a wɔde twitwiw nipadua no
Swedish;Sweden kasa mu
Swedophone;Swedophone a wɔde di dwuma
sweep;prama
sweeper;sweeper a ɔprapra nneɛma
sweepstake;sweepstake a wɔde di dwuma
sweet corn;atoko a ɛyɛ dɛ
sweet dreams;daeɛ pa
sweet flag;frankaa a ɛyɛ dɛ
sweet gum;aduru a ɛyɛ dɛ
sweet osmanthus;osmanthus a ɛyɛ dɛ
sweet pea;pea a ɛyɛ dɛ
sweet potato;ɛmo a ɛyɛ dɛ
sweet spot;beae a ɛyɛ dɛ
sweet woodruff;nnua a ɛyɛ dɛ
sweet;dɛ
sweetbread;paanoo a ɛyɛ dɛ
sweeten the pot;fa kuku no yɛ dɛ
sweeten up;ma ɛyɛ dɛ
sweeten;sweeten
sweetener;aduru a ɛma ɛyɛ dɛ
sweetheart;akoma mu tɔfe
sweetie;sweetie a ɔyɛ ɔbarima
sweetly;sweetly
sweetness;dɛ a ɛyɛ dɛ
sweets;nnɔkɔnnɔkɔwade
sweetshop;sweetshop
swell;hono
swelling;rehono
sweltering;a ɛyɛ hyew
swidden;swidden a wɔde di dwuma
swift;ntɛmntɛm
swill;swill
swim bladder;asuguare akisikuru
swim cap;asuguare kyɛw
swim;boro nsuo
swimmer;asuguarefo
swimming pool;asuguarebea
swimming trunks;asuguare nnua
swimming;reboro nsuo
swimsuit;asuguare atade
swindle;nsisi
swindler;ɔdaadaafo
swine fever;mprako atiridiinini
swine flu;mprako atiridiinini
swine;mprako
swineherd;mprako hwɛfo
swing;rekora
swinging;swing a wɔwosow
swipe;swipe a wode twitwiw so
swirl;swirl
Swiss Army knife;Switzerland Asraafo sekan
Swiss roll;Switzerlandfo nhoma mmobɔwee
Swiss;Switzerlandfo
switch off;dum no
switch on;switch on no
switch;sɔ
switchboard;switchboard a wɔde kyerɛw nneɛma
switcheroo;switcheroo a wɔde yɛ adwuma
Switzerland;Switzerland
swivel;swivel a wɔde twitwiw nneɛma
swoon;swoon
swoop;swoop
sword of Damocles;nkrante a ɛyɛ Damocles
sword;sekan
swordfish;nkrante mpataa
swordplay;nkrante a wɔde di agoru
swordsman;nkrante bɔfo
sworn;wɔaka ntam
swot;swot
sybarite;sybarite a wɔfrɛ no sybarite
sycamore maple;sycamore maple a wɔfrɛ no sycamore maple
sycamore;sycamore a wɔfrɛ no sycamore
sycophant;sycophant a wɔde di dwuma
Sydenham's chorea;Sydenham a ɔyɛ chorea no
Sydney Opera House;Sydney Opera Fie a ɛwɔ hɔ
Sydney;Sydney
Syktyvkar;Syktyvkar na ɔkyerɛwee
syllabic;nnyigyei nkyerɛwde
syllable;nnyigyei nkyerɛwde
syllabus;adesua nhyehyɛe
syllepsis;syllepsis a ɛyɛ mmerɛw
syllogism;syllogism a wɔde di dwuma
sylph;sylph a wɔfrɛ no sylph
sylvan;sylvan a ɛwɔ hɔ
Sylvester;Sylvester na ɔkyerɛwee
sylvite;sylvite a wɔfrɛ no sylvite
sym-;sym- .
symbiont;symbiont a ɛne ne ho di nsɛ
symbiosis;symbiosis a ɛma obi bom yɛ adwuma
symbiotic;symbiotic a ɛbom yɛ adwuma
symbol;ahyɛnsodeɛ
symbolic;sɛnkyerɛnne kwan so de
symbolically;sɛnkyerɛnne kwan so
symbolise;yɛ sɛnkyerɛnne kwan so
symbolism;sɛnkyerɛnne kwan so nsɛm
symbolize;yɛ sɛnkyerɛnne kwan so
symbology;sɛnkyerɛnne kwan so nneɛma
symmetrical;symmetrical a ɛyɛ pɛpɛɛpɛ
symmetrically;sɛnea ɛyɛ pɛpɛɛpɛ
symmetry;symmetry a ɛyɛ pɛpɛɛpɛ
sympathetic;ayamhyehye
sympathize;nya tema
sympathy;tema
symphonic poem;anwensɛm a wɔde nnwom a ɛyɛ dɛ di dwuma
symphonist;nnwontofo a ɔbɔ nnwom
symphony orchestra;nnwontofo kuw a wɔbɔ nnwom a wɔfrɛ no symphony
symphony;nnwontofo kuw a wɔbɔ nnwom
symposium;ɔkasa a wɔakyekyem
symptom;sɛnkyerɛnne a ɛkyerɛ
symptomatic;a ɛkyerɛ sɛ obi anya yare no ho sɛnkyerɛnne
synaesthesia;synaesthesia a ɛma obi ho yɛ hyew
synagogue;hyiadan mu
synalepha;synalepha a ɛwɔ nipadua no mu
synapse;synapse a ɛwɔ nipadua no mu
synchrocyclotron;synchrocyclotron a wɔde yɛ adwuma
synchronization;nhyiamu a ɛne ne ho di nsɛ
synchronize;yɛ adwuma a ɛne ne ho hyia
synchronous;synchronous a ɛyɛ adwuma
synchrotron;synchrotron a ɛma nipadua no yɛ adwuma
synclinal;synclinal a ɛwɔ nipadua no mu
syncopate;syncopate a wɔde hyɛ nipadua mu
syncope;syncope a ɛma obi ho kyere no
syndesmosis;syndesmosis a ɛma obi ho yɛ hyew
syndical;syndical a wɔde yɛ adwuma
syndicalism;syndicalism a wɔde di dwuma
syndicalist;syndicalist a ɔyɛ adwuma wɔ hɔ
syndrome;syndrome a ɛma obi nya ɔyare no
synecdoche;synecdoche a wɔde di dwuma
synergy;synergy a wɔde yɛ adwuma
synod;synod, asɔredan mu
synonym;asɛmfua a ɛne ne ho di nsɛ
synonymous;asɛmfua a ɛne ne ho di nsɛ
synopsis;nsɛm a wɔaboaboa ano
synovitis;synovitis a ɛyɛ mmerɛw
synovium;synovium a ɛwɔ nipadua no mu
syntactic salt;kasamufa nkyene
syntactic sugar;kasamufa mu asikre
syntactic;kasamufa ho nhyehyɛe
syntax;nsɛmfua nhyehyɛe
synthase;synthase a wɔfrɛ no synthase
synthesis;synthesis a wɔde yɛ nneɛma
synthesize;synthesize a wɔde yɛ nneɛma
synthesizer;synthesizer a wɔde yɛ nneɛma
synthetase;synthetase a wɔde yɛ nneɛma
synthetic fiber;nhama a wɔde yɛ nneɛma
